ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC1117EW0189,Count,Person,"61 oed, Benywod"
DC1117EW0190,Count,Person,"62 oed, Pob categori: Rhyw"
DC1117EW0191,Count,Person,"62 oed, Gwrywod"
DC1117EW0192,Count,Person,"62 oed, Benywod"
DC1117EW0193,Count,Person,"63 oed, Pob categori: Rhyw"
DC1117EW0194,Count,Person,"63 oed, Gwrywod"
DC1117EW0195,Count,Person,"63 oed, Benywod"
DC1117EW0196,Count,Person,"64 oed, Pob categori: Rhyw"
DC1117EW0197,Count,Person,"64 oed, Gwrywod"
DC1117EW0198,Count,Person,"64 oed, Benywod"
DC1117EW0199,Count,Person,"65 oed, Pob categori: Rhyw"
DC1117EW0200,Count,Person,"65 oed, Gwrywod"
DC1117EW0201,Count,Person,"65 oed, Benywod"
DC1117EW0202,Count,Person,"66 oed, Pob categori: Rhyw"
DC1117EW0203,Count,Person,"66 oed, Gwrywod"
DC1117EW0204,Count,Person,"66 oed, Benywod"
DC1117EW0205,Count,Person,"67 oed, Pob categori: Rhyw"
DC1117EW0206,Count,Person,"67 oed, Gwrywod"
DC1117EW0207,Count,Person,"67 oed, Benywod"
DC1117EW0208,Count,Person,"68 oed, Pob categori: Rhyw"
DC1117EW0209,Count,Person,"68 oed, Gwrywod"
DC1117EW0210,Count,Person,"68 oed, Benywod"
DC1117EW0211,Count,Person,"69 oed, Pob categori: Rhyw"
DC1117EW0212,Count,Person,"69 oed, Gwrywod"
DC1117EW0213,Count,Person,"69 oed, Benywod"
DC1117EW0214,Count,Person,"70 oed, Pob categori: Rhyw"
DC1117EW0215,Count,Person,"70 oed, Gwrywod"
DC1117EW0216,Count,Person,"70 oed, Benywod"
DC1117EW0217,Count,Person,"71 oed, Pob categori: Rhyw"
DC1117EW0218,Count,Person,"71 oed, Gwrywod"
DC1117EW0219,Count,Person,"71 oed, Benywod"
DC1117EW0220,Count,Person,"72 oed, Pob categori: Rhyw"
DC1117EW0221,Count,Person,"72 oed, Gwrywod"
DC1117EW0222,Count,Person,"72 oed, Benywod"
DC1117EW0223,Count,Person,"73 oed, Pob categori: Rhyw"
DC1117EW0224,Count,Person,"73 oed, Gwrywod"
DC1117EW0225,Count,Person,"73 oed, Benywod"
DC1117EW0226,Count,Person,"74 oed, Pob categori: Rhyw"
DC1117EW0227,Count,Person,"74 oed, Gwrywod"
DC1117EW0228,Count,Person,"74 oed, Benywod"
DC1117EW0229,Count,Person,"75 oed, Pob categori: Rhyw"
