ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
DC1117EW0071,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_022, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0072,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_022, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0073,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_023, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0074,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_023, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0075,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_023, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0076,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_024, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0077,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_024, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0078,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_024, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0079,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_025, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0080,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_025, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0081,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_025, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0082,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_026, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0083,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_026, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0084,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_026, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0085,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_027, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
